year,month,day,thefts,temp
2012,1,1,666,37.0
2012,1,2,267,24.0
2012,1,3,338,20.0
2012,1,4,345,33.0
2012,1,5,382,36.0
2012,1,6,396,47.0
2012,1,7,391,36.0
2012,1,8,342,34.0
2012,1,9,405,36.0
2012,1,10,355,39.0
2012,1,11,397,41.0
2012,1,12,337,28.0
2012,1,13,363,20.0
2012,1,14,349,14.0
2012,1,15,300,18.0
2012,1,16,348,38.0
2012,1,17,372,28.0
2012,1,18,371,18.0
2012,1,19,381,17.0
2012,1,20,335,15.0
2012,1,21,294,21.0
2012,1,22,261,28.0
2012,1,23,360,38.0
2012,1,24,367,31.0
2012,1,25,428,29.0
2012,1,26,429,35.0
2012,1,27,380,39.0
2012,1,28,317,30.0
2012,1,29,334,26.0
2012,1,30,351,38.0
2012,1,31,372,50.0
2012,2,1,467,40.0
2012,2,2,349,37.0
2012,2,3,384,36.0
2012,2,4,332,36.0
2012,2,5,231,37.0
2012,2,6,336,32.0
2012,2,7,378,33.0
2012,2,8,363,31.0
2012,2,9,352,29.0
2012,2,10,319,25.0
2012,2,11,285,15.0
2012,2,12,272,26.0
2012,2,13,324,26.0
2012,2,14,336,33.0
2012,2,15,362,37.0
2012,2,16,384,41.0
2012,2,17,368,39.0
2012,2,18,298,33.0
2012,2,19,227,31.0
2012,2,20,290,34.0
2012,2,21,333,37.0
2012,2,22,366,37.0
2012,2,23,338,35.0
2012,2,24,329,31.0
2012,2,25,365,22.0
2012,2,26,249,35.0
2012,2,27,371,33.0
2012,2,28,343,34.0
2012,2,29,343,47.0
2012,3,1,487,38.0
2012,3,2,367,37.0
2012,3,3,320,33.0
2012,3,4,238,29.0
2012,3,5,318,29.0
2012,3,6,336,50.0
2012,3,7,374,61.0
2012,3,8,337,50.0
2012,3,9,401,34.0
2012,3,10,348,44.0
2012,3,11,300,55.0
2012,3,12,338,59.0
2012,3,13,364,59.0
2012,3,14,343,64.0
2012,3,15,398,65.0
2012,3,16,479,64.0
2012,3,17,437,70.0
2012,3,18,352,69.0
2012,3,19,424,70.0
2012,3,20,376,74.0
2012,3,21,377,74.0
2012,3,22,436,72.0
2012,3,23,470,59.0
2012,3,24,398,56.0
2012,3,25,325,57.0
2012,3,26,382,42.0
2012,3,27,370,57.0
2012,3,28,468,57.0
2012,3,29,416,44.0
2012,3,30,417,47.0
2012,3,31,389,45.0
2012,4,1,479,50.0
2012,4,2,401,55.0
2012,4,3,433,59.0
2012,4,4,409,52.0
2012,4,5,427,44.0
2012,4,6,452,43.0
2012,4,7,408,51.0
2012,4,8,304,56.0
2012,4,9,451,52.0
2012,4,10,423,40.0
2012,4,11,378,43.0
2012,4,12,363,48.0
2012,4,13,414,53.0
2012,4,14,470,61.0
2012,4,15,467,69.0
2012,4,16,493,55.0
2012,4,17,450,48.0
2012,4,18,399,56.0
2012,4,19,368,53.0
2012,4,20,434,45.0
2012,4,21,393,45.0
2012,4,22,278,47.0
2012,4,23,392,50.0
2012,4,24,418,52.0
2012,4,25,431,54.0
2012,4,26,446,47.0
2012,4,27,436,45.0
2012,4,28,372,48.0
2012,4,29,303,50.0
2012,4,30,389,56.0
2012,5,1,517,57.0
2012,5,2,407,69.0
2012,5,3,396,76.0
2012,5,4,429,64.0
2012,5,5,425,56.0
2012,5,6,310,61.0
2012,5,7,440,58.0
2012,5,8,447,61.0
2012,5,9,417,54.0
2012,5,10,415,57.0
2012,5,11,410,61.0
2012,5,12,399,61.0
2012,5,13,336,61.0
2012,5,14,362,63.0
2012,5,15,456,72.0
2012,5,16,425,58.0
2012,5,17,419,60.0
2012,5,18,449,69.0
2012,5,19,338,76.0
2012,5,20,391,79.0
2012,5,21,394,61.0
2012,5,22,417,61.0
2012,5,23,427,65.0
2012,5,24,510,77.0
2012,5,25,487,74.0
2012,5,26,426,73.0
2012,5,27,366,84.0
2012,5,28,346,86.0
2012,5,29,431,73.0
2012,5,30,441,62.0
2012,5,31,395,51.0
2012,6,1,620,57.0
2012,6,2,409,63.0
2012,6,3,420,69.0
2012,6,4,425,67.0
2012,6,5,366,64.0
2012,6,6,446,64.0
2012,6,7,424,68.0
2012,6,8,497,71.0
2012,6,9,461,78.0
2012,6,10,381,80.0
2012,6,11,486,80.0
2012,6,12,498,69.0
2012,6,13,471,63.0
2012,6,14,442,72.0
2012,6,15,534,77.0
2012,6,16,485,82.0
2012,6,17,376,78.0
2012,6,18,431,82.0
2012,6,19,486,87.0
2012,6,20,509,86.0
2012,6,21,504,78.0
2012,6,22,518,76.0
2012,6,23,473,75.0
2012,6,24,447,80.0
2012,6,25,466,68.0
2012,6,26,472,70.0
2012,6,27,489,75.0
2012,6,28,478,88.0
2012,6,29,552,79.0
2012,6,30,468,81.0
2012,7,1,558,80.0
2012,7,2,526,85.0
2012,7,3,517,87.0
2012,7,4,429,91.0
2012,7,5,390,91.0
2012,7,6,431,93.0
2012,7,7,478,86.0
2012,7,8,392,77.0
2012,7,9,470,79.0
2012,7,10,426,75.0
2012,7,11,462,76.0
2012,7,12,534,79.0
2012,7,13,498,82.0
2012,7,14,490,80.0
2012,7,15,476,83.0
2012,7,16,461,85.0
2012,7,17,471,89.0
2012,7,18,449,83.0
2012,7,19,439,77.0
2012,7,20,493,75.0
2012,7,21,449,76.0
2012,7,22,409,79.0
2012,7,23,492,89.0
2012,7,24,441,77.0
2012,7,25,469,85.0
2012,7,26,439,79.0
2012,7,27,516,76.0
2012,7,28,497,75.0
2012,7,29,435,74.0
2012,7,30,422,81.0
2012,7,31,449,77.0
2012,8,1,579,79.0
2012,8,2,425,80.0
2012,8,3,504,83.0
2012,8,4,468,82.0
2012,8,5,439,75.0
2012,8,6,464,74.0
2012,8,7,488,77.0
2012,8,8,469,78.0
2012,8,9,438,69.0
2012,8,10,455,69.0
2012,8,11,473,67.0
2012,8,12,414,66.0
2012,8,13,464,65.0
2012,8,14,435,70.0
2012,8,15,545,75.0
2012,8,16,438,69.0
2012,8,17,450,67.0
2012,8,18,457,65.0
2012,8,19,396,70.0
2012,8,20,415,66.0
2012,8,21,456,66.0
2012,8,22,425,70.0
2012,8,23,430,78.0
2012,8,24,463,79.0
2012,8,25,436,80.0
2012,8,26,358,73.0
2012,8,27,411,77.0
2012,8,28,414,75.0
2012,8,29,481,75.0
2012,8,30,418,77.0
2012,8,31,446,82.0
2012,9,1,555,73.0
2012,9,2,394,78.0
2012,9,3,364,80.0
2012,9,4,461,78.0
2012,9,5,389,75.0
2012,9,6,427,77.0
2012,9,7,472,69.0
2012,9,8,494,64.0
2012,9,9,416,64.0
2012,9,10,424,64.0
2012,9,11,450,68.0
2012,9,12,395,75.0
2012,9,13,439,63.0
2012,9,14,477,64.0
2012,9,15,505,65.0
2012,9,16,397,63.0
2012,9,17,439,67.0
2012,9,18,427,55.0
2012,9,19,405,57.0
2012,9,20,467,62.0
2012,9,21,526,54.0
2012,9,22,407,52.0
2012,9,23,372,51.0
2012,9,24,399,54.0
2012,9,25,355,63.0
2012,9,26,406,61.0
2012,9,27,428,56.0
2012,9,28,474,59.0
2012,9,29,451,64.0
2012,9,30,405,58.0
2012,10,1,578,57.0
2012,10,2,341,61.0
2012,10,3,430,61.0
2012,10,4,422,63.0
2012,10,5,450,45.0
2012,10,6,350,42.0
2012,10,7,349,44.0
2012,10,8,413,46.0
2012,10,9,374,54.0
2012,10,10,414,43.0
2012,10,11,388,51.0
2012,10,12,452,45.0
2012,10,13,413,56.0
2012,10,14,360,60.0
2012,10,15,423,51.0
2012,10,16,378,55.0
2012,10,17,420,61.0
2012,10,18,425,50.0
2012,10,19,419,48.0
2012,10,20,412,49.0
2012,10,21,363,53.0
2012,10,22,404,57.0
2012,10,23,406,64.0
2012,10,24,440,68.0
2012,10,25,432,60.0
2012,10,26,447,44.0
2012,10,27,416,41.0
2012,10,28,366,44.0
2012,10,29,419,44.0
2012,10,30,452,44.0
2012,10,31,362,42.0
2012,11,1,482,44.0
2012,11,2,465,41.0
2012,11,3,335,41.0
2012,11,4,316,40.0
2012,11,5,405,38.0
2012,11,6,329,36.0
2012,11,7,439,44.0
2012,11,8,399,40.0
2012,11,9,442,45.0
2012,11,10,478,58.0
2012,11,11,353,55.0
2012,11,12,415,35.0
2012,11,13,402,33.0
2012,11,14,373,37.0
2012,11,15,475,39.0
2012,11,16,457,41.0
2012,11,17,442,41.0
2012,11,18,357,44.0
2012,11,19,390,48.0
2012,11,20,427,49.0
2012,11,21,419,44.0
2012,11,22,261,53.0
2012,11,23,397,35.0
2012,11,24,398,28.0
2012,11,25,337,36.0
2012,11,26,365,30.0
2012,11,27,416,25.0
2012,11,28,367,36.0
2012,11,29,473,42.0
2012,11,30,457,44.0
2012,12,1,507,44.0
2012,12,2,313,54.0
2012,12,3,343,58.0
2012,12,4,406,49.0
2012,12,5,419,34.0
2012,12,6,380,39.0
2012,12,7,458,44.0
2012,12,8,367,39.0
2012,12,9,349,38.0
2012,12,10,404,35.0
2012,12,11,425,29.0
2012,12,12,485,37.0
2012,12,13,390,41.0
2012,12,14,447,38.0
2012,12,15,478,44.0
2012,12,16,322,44.0
2012,12,17,390,35.0
2012,12,18,407,36.0
2012,12,19,398,38.0
2012,12,20,429,41.0
2012,12,21,358,27.0
2012,12,22,371,25.0
2012,12,23,348,28.0
2012,12,24,355,31.0
2012,12,25,180,29.0
2012,12,26,276,31.0
2012,12,27,275,31.0
